datetime_utc,pm25,lat,lon,location_name,city
2025-05-13 02:00:00+00:00,0.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 03:00:00+00:00,1.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 04:00:00+00:00,1.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 05:00:00+00:00,1.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 06:00:00+00:00,0.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 07:00:00+00:00,6.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 08:00:00+00:00,7.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 09:00:00+00:00,8.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 10:00:00+00:00,8.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 11:00:00+00:00,6.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 12:00:00+00:00,5.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 13:00:00+00:00,7.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 14:00:00+00:00,6.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 15:00:00+00:00,9.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 16:00:00+00:00,15.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 17:00:00+00:00,3.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 18:00:00+00:00,7.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 19:00:00+00:00,0.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 20:00:00+00:00,4.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 21:00:00+00:00,10.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 22:00:00+00:00,7.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-13 23:00:00+00:00,5.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 00:00:00+00:00,5.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 01:00:00+00:00,5.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 02:00:00+00:00,7.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 03:00:00+00:00,8.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 04:00:00+00:00,7.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 05:00:00+00:00,8.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 06:00:00+00:00,6.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 07:00:00+00:00,9.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 08:00:00+00:00,4.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 09:00:00+00:00,10.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 10:00:00+00:00,11.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 12:00:00+00:00,11.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 13:00:00+00:00,7.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 14:00:00+00:00,5.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 15:00:00+00:00,6.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 16:00:00+00:00,7.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 17:00:00+00:00,15.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 18:00:00+00:00,12.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 19:00:00+00:00,5.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 20:00:00+00:00,2.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 21:00:00+00:00,6.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 22:00:00+00:00,5.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-14 23:00:00+00:00,8.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 00:00:00+00:00,2.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 01:00:00+00:00,3.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 02:00:00+00:00,7.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 03:00:00+00:00,2.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 04:00:00+00:00,0.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 05:00:00+00:00,1.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 06:00:00+00:00,5.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 07:00:00+00:00,12.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 08:00:00+00:00,7.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 09:00:00+00:00,4.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 10:00:00+00:00,5.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 11:00:00+00:00,4.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 12:00:00+00:00,3.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 13:00:00+00:00,2.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 14:00:00+00:00,14.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 15:00:00+00:00,4.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 16:00:00+00:00,20.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 17:00:00+00:00,5.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 18:00:00+00:00,8.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 19:00:00+00:00,13.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 20:00:00+00:00,4.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 21:00:00+00:00,4.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 22:00:00+00:00,2.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-15 23:00:00+00:00,5.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
2025-05-16 00:00:00+00:00,3.0,40.42166665995589,-3.682222219837608,ESCUELAS AGUIRRE,Madrid
